Player,Matches,Overs,Balls,Wkts,Avg,Runs,4-fers,5-fers,Country
Matt Henry,4,31.2,188,10,16.7,167,-,1,New Zealand
Mohammed Shami,4,32.0,192,8,19.88,159,-,1,India
Varun Chakaravarthy,2,20.0,120,7,13.0,91,-,1,India
Mitchell Santner,4,40.0,240,7,27.71,194,-,-,New Zealand
Ben Dwarshuis,3,26.0,156,7,21.71,152,-,-,Australia
Azmatullah Omarzai,3,20.5,125,7,20.0,140,-,1,Afghanistan
Michael Bracewell,4,39.0,234,6,28.83,173,1,-,New Zealand
Wiaan Mulder,3,22.2,134,6,18.17,109,-,-,South Africa
Kagiso Rabada,3,25.3,153,6,24.67,148,-,-,South Africa
William ORourke,4,36.0,216,6,35.17,211,-,-,New Zealand
Adam Zampa,3,28.0,168,6,28.67,172,-,-,Australia
Lungi Ngidi,3,25.0,150,6,26.83,161,-,-,South Africa
Jofra Archer,3,29.0,174,6,33.5,201,-,-,England
Axar Patel,4,37.0,222,5,33.4,167,-,-,India
Kuldeep Yadav,4,36.3,219,5,36.6,183,-,-,India
