Player,Country,Runs,Balls,Sr,Vs,4s,6s
Ibrahim Zadran,Afghanistan,177,146,121.23,England,12,6
Ben Duckett,England,165,143,115.38,Australia,17,3
Josh Inglis,Australia,120,86,139.53,England,8,6
Joe Root,England,120,111,108.11,Afghanistan,11,1
Tom Latham,New Zealand,118,104,113.46,Pakistan,10,3
Rachin Ravindra,New Zealand,112,105,106.67,Bangladesh,12,1
Rachin Ravindra,New Zealand,108,101,106.93,South Africa,13,1
Will Young,New Zealand,107,113,94.69,Pakistan,12,1
Ryan Rickelton,South Africa,103,106,97.17,Afghanistan,7,1
Kane Williamson,New Zealand,102,94,108.51,South Africa,10,2
Shubman Gill,India,101,129,78.29,Bangladesh,9,2
David Miller,South Africa,100,67,149.25,New Zealand,10,4
Virat Kohli,India,100,111,90.09,Pakistan,7,0
Towhid Hridoy,Bangladesh,100,118,84.75,India,6,2
Rahmat Shah,Afghanistan,90,92,97.83,South Africa,9,1
